,source,boolq,cb,cola,copa,mnli,mrpc,multirc,qnli,qqp,rte,sst2,wic,wnli,wsc,avg,lp(mnli)
31,cross-encoder/nli-roberta-base,2.3241590214067287,10.714285714285722,-2.9721955896452528,15.0,0.4068348250610256,2.205882352941188,2.64026402640264,-0.3844041735310384,-0.4625278258718879,9.02527075812273,-1.2614678899082603,1.0971786833855788,1.408450704225352,-0.96153846153846,2.7700137246668617,34.09479251423922
32,textattack/roberta-base-RTE,1.5290519877675737,0.0,-0.4793863854266647,3.0,-3.386899918633034,1.9607843137254972,2.083333333333343,0.2562694490206922,-0.460054415038357,3.610108303249092,-0.4587155963302933,-1.7241379310344769,0.0,0.0,0.4235966529023837,14.820992676973134
33,deepset/roberta-base-squad2-covid,1.926605504587144,-1.7857142857142776,-0.3835091083413289,4.000000000000007,0.1525630593978775,1.7156862745098067,0.3506600660066041,0.1647446457990042,0.0296809300024705,0.3610108303249006,-0.9174311926605584,1.410658307210042,0.0,0.0,0.501782502222978,-1.10659072416599
34,nlpconnect/roberta-base-squad2-nq,1.8960244648317968,0.0,-4.889741131351869,4.000000000000007,0.3559804719283903,-0.9803921568627344,-0.7219471947194691,0.1830496064433475,-9.962898837496908,-27.07581227436824,-0.4587155963302933,1.724137931034491,0.0,0.0,-2.5664510512065344,3.673718470301054
35,csarron/roberta-base-squad-v1,0.5198776758409878,3.5714285714285694,-1.5340364333652872,5.000000000000007,-0.0203417412530484,2.4509803921568647,1.0107260726072624,0.6040637012630441,-0.4674746475389497,1.444043321299631,-0.3440366972477164,1.5673981191222737,0.0,0.0,0.9859020238795456,3.378763222131809
36,navteca/roberta-base-squad2,-15.10703363914373,0.0,-6.136145733461177,4.000000000000007,-7.1094385679414245,-1.9607843137254832,-3.155940594059402,0.0732198425773162,-1.2738065792728293,-25.6317689530686,-0.5733944954128418,0.313479623824449,0.0,0.0,-4.040115243548837,4.029698942229452
37,shahrukhx01/roberta-base-boolq,3.822629969418969,-3.5714285714285694,-1.5340364333652872,5.000000000000007,-1.7087062652563103,0.9803921568627628,3.42409240924092,-0.3660992128866951,-2.320059361860018,1.0830324909747162,0.0,-1.2539184952977962,0.0,0.0,0.2539927633144785,10.417005695687536
38,cross-encoder/quora-roberta-base,-11.437308868501532,-21.42857142857143,-4.122722914669225,-8.0,0.6611065907241738,1.4705882352941302,2.805280528052805,-0.2013545670876766,1.5607222359633823,1.0830324909747162,-1.6055045871559628,1.0971786833855788,-2.816901408450711,-9.615384615384611,-3.6107028303875977,8.352318958502842
39,navteca/quora-roberta-base,-10.275229357798167,-8.92857142857143,-4.122722914669225,-5.0,0.671277461350698,0.4901960784313814,1.7945544554455424,-0.2013545670876766,1.0883007667573423,2.8880866425992764,-1.2614678899082603,0.313479623824449,1.408450704225352,-8.653846153846146,-2.1277747556604902,8.352318958502842
40,Bhumika/roberta-base-finetuned-sst2,-2.6605504587155906,0.0,-1.7257909875359587,2.0,-0.2441008950366097,-0.4901960784313672,2.021452145214525,-0.4027091341753674,-0.1533514716794428,-15.884476534296034,-0.4587155963302933,-5.329153605015662,-15.492957746478872,0.0,-2.7728964544629053,-2.998372660699758
